symbol,expiration,strike,right,multiplier,bid,ask,undPrice,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
AAPL,20220617,125,P,100,1.87,1.88,140.5191956,-0.172400743,0.013572065,0.468197024,1.865389894,-0.079750305,0.100538642
AAPL,20220617,130,P,100,2.82,2.83,140.5299988,-0.247700408,0.01774746,0.445228548,2.820155016,-0.09412796,0.124896804
AAPL,20220617,135,P,100,4.15,4.2,140.5305939,-0.344613542,0.021861053,0.419661933,4.180174317,-0.102691143,0.150352439
AAPL,20220617,140,P,100,6.05,6.1,140.5099945,-0.46233716,0.025206057,0.393631343,6.008502062,-0.103645487,0.159692657
AAPL,20220617,145,P,100,8.5,8.6,140.5099945,-0.593474674,0.026089801,0.37115998,8.513059448,-0.094634206,0.156471149
AAPL,20220617,150,P,100,11.7,11.8,140.4900055,-0.720844559,0.023624336,0.357057932,11.78072105,-0.07826962,0.13048689
AAPL,20220617,155,P,100,15.5,15.7,140.4900055,-0.830445628,0.018706154,0.34277402,15.62218967,-0.055719696,0.111824267
AAPL,20220617,160,P,100,19.85,20.1,140.5350037,-0.899663956,0.013185871,0.34260762,20.02434359,-0.037771138,0.072941878
AAPL,20220715,125,P,100,3.25,3.3,140.3000031,-0.221222752,0.012377519,0.43062059,3.347265174,-0.06080143,0.163375707
AAPL,20220715,130,P,100,4.4,4.5,140.3200073,-0.28903214,0.014866352,0.412834263,4.575379809,-0.066908483,0.188329775
AAPL,20220715,135,P,100,5.95,6,140.3300018,-0.368806552,0.017223976,0.393847966,6.119932588,-0.070233781,0.208434668
AAPL,20220715,140,P,100,7.9,7.95,140.4100037,-0.458654279,0.019059871,0.375365761,8.033105163,-0.070222896,0.221529367
AAPL,20220715,145,P,100,10.2,10.35,140.4199982,-0.557680457,0.019915736,0.357956389,10.46722408,-0.066099375,0.217206081
AAPL,20220715,150,P,100,13.1,13.25,140.4698944,-0.65709159,0.019389727,0.342638344,13.41933675,-0.058159275,0.204373355
AAPL,20220715,155,P,100,16.6,16.8,140.5012054,-0.75054749,0.017496468,0.330414617,16.89244805,-0.047750944,0.183973277
AAPL,20220715,160,P,100,20.5,20.85,140.4949951,-0.830212874,0.014549789,0.322019405,20.87347672,-0.036407,0.145498735
AAPL,20220819,125,P,100,5.05,5.15,140.8699036,-0.251283745,0.01056751,0.426448898,5.099741864,-0.050566753,0.232421781
AAPL,20220819,130,P,100,6.45,6.55,140.9349976,-0.308121658,0.012132188,0.41100988,6.458792137,-0.053725647,0.257558242
AAPL,20220819,135,P,100,8.15,8.25,140.9797058,-0.372818602,0.013538357,0.396599182,8.138779202,-0.055525284,0.263766792
AAPL,20220819,140,P,100,10.15,10.25,140.9499969,-0.444841836,0.014669807,0.381689564,10.17747769,-0.055252896,0.280011662
AAPL,20220819,145,P,100,12.55,12.65,140.8899994,-0.521930273,0.015345226,0.367852271,12.60400635,-0.053058031,0.285848831
AAPL,20220819,150,P,100,15.35,15.5,140.8899994,-0.600250576,0.01544441,0.354463567,15.37765014,-0.04885403,0.28029769
AAPL,20220819,155,P,100,18.5,18.7,140.9100037,-0.676304461,0.014849298,0.343247961,18.56323478,-0.043167942,0.263941914
AAPL,20220819,160,P,100,22.1,22.3,140.9299927,-0.74639657,0.013627126,0.334289797,22.15150048,-0.036526219,0.238506024
AAPL,20220916,125,P,100,6.05,6.15,141.0182953,-0.261196337,0.009827507,0.410102201,5.968018862,-0.043156293,0.264462315
AAPL,20220916,130,P,100,7.5,7.65,141.0099945,-0.314834166,0.011154135,0.395467638,7.403272299,-0.045273011,0.293070227
AAPL,20220916,135,P,100,9.3,9.4,140.9947052,-0.375049164,0.012356571,0.382614849,9.135440787,-0.046597891,0.311908729
AAPL,20220916,140,P,100,11.35,11.5,140.9850006,-0.440570086,0.013316185,0.369376804,11.18937335,-0.046347049,0.318809518
AAPL,20220916,145,P,100,13.8,13.95,141.0200043,-0.508953517,0.013887198,0.357744264,13.59552264,-0.044806807,0.325501092
AAPL,20220916,150,P,100,16.55,16.75,141.0599976,-0.578691321,0.014044973,0.347055958,16.338694,-0.041995602,0.319285223
AAPL,20220916,155,P,100,19.7,19.85,141.0597992,-0.648243975,0.013742915,0.337174012,19.44885874,-0.037956563,0.30057495
