symbol,expiration,strike,right,multiplier,bid,ask,undPrice,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
TSLA,20220617,690,P,100,55.9,56.4,707.8900146,-0.409207304,0.002455859,0.781974781,53.73172619,-1.021530794,0.791702422
TSLA,20220617,695,P,100,58.05,58.6,707.8900146,-0.421874145,0.002489942,0.776725644,55.83065733,-1.021538337,0.794724127
TSLA,20220617,700,P,100,60.25,60.85,708.0540771,-0.43411997,0.002503173,0.77767974,58.35351128,-1.029735576,0.797758363
TSLA,20220617,705,P,100,62.55,63.15,708.1419067,-0.446924072,0.002546232,0.769763358,60.19879882,-1.026141596,0.800858919
TSLA,20220617,710,P,100,64.85,65.55,707.5,-0.46148929,0.002573316,0.765873599,62.86696728,-1.024368744,0.80347328
TSLA,20220617,715,P,100,67.3,67.95,708.1599731,-0.47296934,0.002596339,0.758723046,64.87033839,-1.015833145,0.806824538
TSLA,20220617,720,P,100,69.8,70.5,707.6453857,-0.487683007,0.002623311,0.751845049,67.47293472,-1.00593005,0.8095245
TSLA,20220617,725,P,100,72.35,73.1,707.710022,-0.50071964,0.002635189,0.748681404,70.08683475,-1.001803712,0.812477033
TSLA,20220715,690,P,100,75.65,76.15,707.4066162,-0.405999554,0.001844855,0.748257126,74.00987656,-0.69690299,1.09436742
TSLA,20220715,695,P,100,77.9,78.45,707.710022,-0.415041562,0.001863093,0.745048845,76.12011149,-0.698114326,1.098826366
TSLA,20220715,700,P,100,80.2,80.75,707.3499756,-0.425332991,0.001881367,0.743181388,78.64131205,-0.700452627,1.102741587
TSLA,20220715,705,P,100,82.5,83.1,707.5,-0.434764134,0.001898852,0.740694796,80.8901019,-0.702283953,1.107058129
TSLA,20220715,710,P,100,84.9,85.55,707.460022,-0.444665366,0.001918414,0.735999842,83.17172214,-0.700140789,1.111231354
TSLA,20220715,715,P,100,87.35,88,707.7266235,-0.453880873,0.001930251,0.732169619,85.5884261,-0.697335482,1.11557446
TSLA,20220715,720,P,100,89.8,90.5,707.9699707,-0.463316565,0.001944364,0.727564,87.92625785,-0.693745327,1.119917714
TSLA,20220715,725,P,100,92.35,93.1,708.1599731,-0.472902173,0.001957222,0.723526904,90.34990274,-0.690621418,1.124222788
TSLA,20220819,700,P,100,100.2,101,708.4400024,-0.410784931,0.001483965,0.738156042,98.71569252,-0.54171647,1.387271037
TSLA,20220819,720,P,100,110.15,111.45,708.7399902,-0.441828184,0.001537822,0.722394765,107.8704387,-0.53682353,1.409043896
TSLA,20220916,690,P,100,106,107.1,708.5682983,-0.389315804,0.001307852,0.723199593,104.8157603,-0.45545672,1.562584976
TSLA,20220916,700,P,100,110.85,111.95,708.1799927,-0.403680154,0.001331367,0.71941632,109.7414094,-0.457789397,1.574508472
TSLA,20220916,710,P,100,116.1,117,708.5800171,-0.417423956,0.001357345,0.712443307,113.9831227,-0.457667066,1.587410449
TSLA,20220916,720,P,100,121.2,122.4,708.4899902,-0.431206354,0.001370732,0.708635185,119.5488092,-0.456491481,1.599193651
TSLA,20221021,700,P,100,122.9,124.15,708.4099731,-0.394361604,0.001189588,0.705963462,121.7107328,-0.389049236,1.776606098
TSLA,20221021,720,P,100,133.3,134.75,708.4799805,-0.419167716,0.001221932,0.697679607,131.9818054,-0.389111494,1.804377724
TSLA,20221118,700,P,100,131.8,133.3,707.8699951,-0.388027775,0.00110056,0.701158515,131.0529426,-0.351013271,1.918735394
TSLA,20221118,720,P,100,142.35,143.8,707.7800293,-0.411075709,0.001128762,0.694149319,141.6719791,-0.351463192,1.948532953
TSLA,20221216,690,P,100,133.3,135.15,707.2349243,-0.372248231,0.001026093,0.692142358,133.0218292,-0.315732795,2.032966945
TSLA,20221216,700,P,100,138.5,140.35,706.8220215,-0.383613832,0.001042321,0.68981987,138.2376065,-0.317656728,2.048832609
TSLA,20221216,710,P,100,143.8,145.65,706.8800049,-0.394373992,0.00105504,0.687695441,143.584815,-0.319033925,2.064871294
TSLA,20221216,720,P,100,149.2,151.1,706.8200073,-0.405077426,0.001065509,0.684748957,149.2827144,-0.318689131,2.080577955
